neigbourhood,add1,add2,postal,des,builtuparea,noofrooms,nooftoilets,price S$,psf S$,agent,ref
Ang Mo Kio,"Ang Mo Kio, Blk 254","Blk 254, ANG MO KIO AVENUE 4, 560254",560254,4 Rooms HDB Flat,1044,4,2,399000,382.18,Sean Lim - ERA REALTY NETWORK PTE LTD,/ang-mo-kio/sale-13989416/
Ang Mo Kio,"Ang Mo Kio, Blk 610","Blk 610, ANG MO KIO AVENUE 4, 560610",560610,4 Rooms HDB Flat,1023,3,2,385000,376.64,Max Ang - ORANGETEE & TIE PTE LTD,/ang-mo-kio/sale-14001884/
Ang Mo Kio,"Ang Mo Kio, Blk 610","Blk 610, ANG MO KIO AVENUE 4, 560610",560610,4 Rooms HDB Flat,1023,3,2,391000,382.51,Max Ang - ORANGETEE & TIE PTE LTD,/ang-mo-kio/sale-14001883/
Ang Mo Kio,"Ang Mo Kio, Blk 429","Blk 429, Ang Mo Kio Avenue 3, 560429",560429,4 Rooms HDB Flat,990,3,,398888,371.74721189591077,Bee Yeo - ERA REALTY NETWORK PTE LTD,/ang-mo-kio/sale-13969616/
Ang Mo Kio,"Ang Mo Kio, Blk 204","Blk 204, ANG MO KIO AVENUE 3, 560204",560204,4 Rooms HDB Flat,990,3,2,400000,404.07,Patrick Neo - ERA REALTY NETWORK PTE LTD,/ang-mo-kio/sale-14099947/
Ang Mo Kio,"Ang Mo Kio, Blk 606","Blk 606, ANG MO KIO AVENUE 5, 560606",560606,4 Rooms HDB Flat,980,3,2,374000,381.96,Max Ang - ORANGETEE & TIE PTE LTD,/ang-mo-kio/sale-14001906/
Ang Mo Kio,"Ang Mo Kio, Blk 177","Blk 177, ANG MO KIO AVENUE 4, 560177",560177,4 Rooms HDB Flat,980,3,2,390000,397.96,Aaron Chong - PROPNEX REALTY PTE LTD,/ang-mo-kio/sale-14109459/
Ang Mo Kio,"Ang Mo Kio, Blk 177","Blk 177, ANG MO KIO AVENUE 4, 560177",560177,4 Rooms HDB Flat,980,3,2,390000,397.96,Aaron Chong - PROPNEX REALTY PTE LTD,/ang-mo-kio/sale-14109458/
Ang Mo Kio,"Ang Mo Kio, Blk 179","Blk 179, ANG MO KIO AVENUE 5, 560179",560179,4 Rooms HDB Flat,980,3,2,390000,398.3,Eric Tay - PROPNEX REALTY PTE LTD,/ang-mo-kio/sale-13336981/
Bedok,"Bedok, Blk 121","Blk 121, Bedok North Road, 460121",460121,4 Rooms HDB Flat,990,3,2,338000,371.74721189591077,Joan Bagus - PROPNEX REALTY PTE LTD,/bedok/sale-14012412/
